Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1980-04-28,,,912.916328,,978.691866,929.79783,,1023.925781,
1980-04-29,,,912.916328,,980.730035,929.79783,,1003.417969,
1980-04-30,,,1016.409423,,984.71373,1016.399158,,1011.71875,
1980-05-01,,,1016.409423,,977.024273,1016.399158,,957.03125,
1980-05-02,,,1016.409423,,978.136002,1016.399158,,1000.976563,
1980-05-05,,,1016.409423,,985.547526,1016.399158,,1000.976563,
1980-05-06,,,1016.409423,,984.343154,1016.399158,,1000.976563,
1980-05-07,,,1016.409423,,992.959051,1016.399158,,996.09375,
1980-05-08,,,1016.409423,,983.231425,1016.399158,,1007.324219,
1980-05-09,,,1016.409423,,970.168612,1016.399158,,992.675781,
1980-05-12,,,1016.409423,,970.724477,1016.399158,,1002.441406,
1980-05-13,,,1016.409423,,984.806374,1016.399158,,1000,
1980-05-14,,,1016.409423,,989.901797,1016.399158,,1025.390625,
1980-05-15,,,1016.409423,,991.198814,1016.399158,,1009.765625,
1980-05-16,,,1016.409423,,994.534,1016.399158,,1008.789063,
1980-05-19,,,1016.409423,,997.49861,1016.399158,,1003.417969,
1980-05-20,,,1016.409423,,997.03539,1016.399158,,991.699219,
1980-05-21,,,1016.409423,,997.961831,1016.399158,,1002.929688,
1980-05-22,,,1016.409423,,1009.912915,1016.399158,,978.515625,
1980-05-23,,,1016.409423,,1024.828608,1016.399158,,998.535156,
1980-05-26,,,1016.409423,,1024.828608,1016.399158,,998.535156,
1980-05-27,,,1016.409423,,1032.054845,1016.399158,,1005.46875,
1980-05-28,,,1016.409423,,1038.169353,1016.399158,,1028.320313,
1980-05-29,,,1016.409423,,1021.586066,1016.399158,,1014.84375,
1980-05-30,,,1064.337937,,1030.57254,1062.463145,,1045.898438,
1980-06-02,,,1064.337937,,1026.125625,1062.463145,,1096.679688,
1980-06-03,,,1064.337937,,1023.809524,1062.463145,,1079.101563,
1980-06-04,,,1064.337937,,1043.264777,1062.463145,,1116.210938,
1980-06-05,,,1064.337937,,1044.839726,1062.463145,,1136.230469,
